T70M_FR_出单词表,关键词,标签,AC推荐词,ABA月排名,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击总占比,转化总占比,货流值,PPC竞价,建议竞价范围,均价,评分数,评分值,所属类目,国家,型号
,skypro camera 4k,,,25207,39295,4072,34,0.82%,110275,1663,1,2,157,26,17,49.99%,50.00%,0.3%,€0.25,€0.19-€0.31,€92.99,23,3.7,High-Tech(96%),FR,T70M
,camera sport,,Y,7333,10069,7457,52,0.70%,215930,3690,2,11,590,13,79,30.53%,6.67%,3.1%,€0.80,€0.60-€1.00,€69.99,220,4.0,High-Tech(88%),FR,T70M
,action cam,,Y,28777,38473,3756,11,0.30%,90431,1691,1,15,299,13,70,34.41%,33.33%,3.6%,€0.64,€0.48-€0.80,€69.99,7383,4.5,High-Tech(93%),FR,T70M
,dashcam moto,,Y,9227,8042,6387,24,0.38%,170394,2561,1,19,1755,4,45,37.85%,25.00%,1.4%,€0.21,€0.16-€0.26,€64.98,34,4.0,High-Tech(98%),FR,T70M
,mini camera sport,,Y,46381,55097,2359,8,0.35%,59773,964,1,12,934,3,34,30.44%,25.00%,3.6%,€0.49,€0.37-€0.61,€39.99,178,4.0,High-Tech(96%),FR,T70M
,camera vlog 4k,,Y,47034,54717,2316,4,0.20%,62375,1142,1,6,4552,1,42,39.12%,0.00%,0.7%,€0.31,€0.23-€0.39,€213.99,217,4.0,High-Tech(98%),FR,T70M
,camera sport 4k stabilisateur,,Y,66437,75754,1632,15,0.96%,44326,652,1,0,1849,1,16,25.00%,0.00%,2.3%,€1.37,€1.03-€1.71,€92.99,220,4.0,High-Tech(90%),FR,T70M
,camera vlog,,Y,2021,2382,15353,23,0.15%,370350,5856,1,11,53524,0,53,38.22%,16.67%,0.8%,€0.29,€0.22-€0.36,€213.99,217,4.0,High-Tech(96%),FR,T70M
,mini camera,,Y,3882,5251,12056,110,0.92%,299550,5854,3,12,66362,0,119,28.57%,14.81%,6.0%,€0.32,€0.24-€0.40,€20.57,172,4.0,High-Tech(19%) / Auto et Moto(2%) / Secteur industriel & scientifique(2%),FR,T70M
,camera moto,,Y,11743,10463,5819,208,3.59%,148220,2327,5,12,63394,0,83,37.33%,33.33%,3.1%,€0.65,€0.49-€0.81,€69.99,30,4.0,High-Tech(96%),FR,T70M
,camera 4k,,Y,22336,32449,4534,9,0.20%,131000,1780,1,2,61228,0,26,20.37%,20.00%,5.0%,€0.32,€0.24-€0.40,€79.99,178,3.7,High-Tech(77%) / Jeux et Jouets(2%) / Bébés & Puériculture(2%),FR,T70M
,caméra sport,,Y,23068,31760,4472,27,0.60%,112901,1959,1,37,61704,0,38,30.00%,0.00%,3.2%,€0.49,€0.37-€0.61,€69.99,220,4.0,High-Tech(96%),FR,T70M
,camera ski,,Y,26668,77538,3935,43,1.09%,98292,1943,1,0,27101,0,16,43.14%,50.00%,4.5%,€0.71,€0.53-€0.89,€36.99,21,4.0,High-Tech(96%),FR,T70M
,camera portable,,Y,27918,34676,3741,25,0.68%,92170,1511,1,0,73464,0,34,42.16%,0.00%,2.5%,€0.55,€0.41-€0.69,€89.99,134,3.9,High-Tech(91%) / Informatique(7%),FR,T70M
,caméra vlog,,Y,30272,33171,3439,9,0.27%,99221,1590,1,6,52850,0,29,38.68%,0.00%,4.4%,€0.44,€0.33-€0.55,€89.99,134,3.9,High-Tech(96%),FR,T70M
,camera casque moto,,Y,36996,44022,2953,25,0.86%,82249,1361,1,2,18034,0,23,38.56%,50.00%,2.9%,€0.98,€0.74-€1.23,€72.99,34,4.0,High-Tech(96%),FR,T70M
,caméra moto,,Y,41123,44642,2625,24,0.93%,74269,1170,1,1,60568,0,9,36.59%,0.00%,1.9%,€0.61,€0.46-€0.76,€69.99,30,4.0,High-Tech(96%),FR,T70M
,camera action,,Y,40822,48092,2574,5,0.23%,71690,1052,1,2,64586,0,29,32.47%,50.00%,5.7%,€0.90,€0.54-€1.08,€69.99,7383,4.5,High-Tech(96%),FR,T70M
,camera sport 4k,,Y,44255,50373,2479,108,4.39%,69031,1135,3,1,13293,0,25,33.78%,0.00%,3.0%,€0.49,€0.37-€0.61,€69.99,220,4.0,High-Tech(96%),FR,T70M
,mini camera 4k,,Y,51930,93273,2105,7,0.34%,60051,892,1,1,16298,0,14,22.73%,33.33%,2.6%,€0.34,€0.26-€0.43,€49.99,172,3.7,High-Tech(50%),FR,T70M
,camera pieton,,Y,52371,51170,1993,279,14.03%,47176,909,7,14,10135,0,11,42.47%,0.00%,3.7%,€0.25,€0.19-€0.31,€39.99,145,4.0,High-Tech(83%),FR,T70M
,camera moto casque,,Y,75432,64288,1401,7,0.51%,34039,550,1,0,16302,0,6,30.01%,33.33%,1.6%,€0.72,€0.54-€0.90,€69.99,2020,4.0,High-Tech(95%) / Auto et Moto(2%),FR,T70M
,vlog camera,,Y,75091,75425,1340,2,0.20%,34729,548,1,1,10350,0,39,33.96%,0.00%,1.9%,€4.54,€3.41-€5.72,€213.99,218,4.0,High-Tech(96%),FR,T70M
,camera pov,,Y,88766,72563,993,6,0.60%,27702,412,1,0,6380,0,11,33.33%,0.00%,0.9%,€0.48,€0.36-€0.60,€92.99,178,3.7,High-Tech(95%),FR,T70M
